source,target,value
用户851,用户280,31
用户851,用户530,25
用户915,用户923,37
用户915,用户356,10
用户915,用户159,18
用户416,用户313,76
用户915,用户851,34
用户915,用户280,35
用户506,用户14,161
用户214,用户159,158
用户166,用户126,23
用户159,用户607,28
用户159,用户692,12
用户159,用户334,17
用户168,用户356,307
用户165,用户948,5
用户232,用户948,1
用户147,用户416,38
用户267,用户629,42
用户267,用户891,171
用户267,用户948,23
用户891,用户267,211
用户207,用户851,13
用户472,用户912,145
用户24,用户629,208
用户500,用户159,26
用户214,用户629,59
用户927,用户948,12
用户927,用户147,23
用户927,用户629,11
用户90,用户987,11
用户356,用户586,98
用户416,用户356,99
用户159,用户500,18
用户90,用户506,35
用户506,用户90,21
用户428,用户851,6
用户977,用户1001,307
用户851,用户428,5
用户977,用户569,3
用户334,用户923,48
用户506,用户738,15
用户586,用户356,157
用户260,用户912,145
用户692,用户135,55
用户168,用户607,31
用户168,用户790,174
用户790,用户168,192
用户790,用户912,9
用户469,用户851,42
用户316,用户200,182
用户416,用户168,118
用户605,用户502,80
用户416,用户294,49
用户774,用户947,2816
用户530,用户915,54
用户530,用户280,79
用户569,用户851,1
用户569,用户189,4
用户569,用户915,1
用户569,用户280,2
用户569,用户530,2
用户891,用户530,296
用户90,用户692,34
用户772,用户61,5
用户772,用户166,1
用户772,用户586,10
用户159,用户851,4
用户61,用户356,78
用户948,用户517,46
用户948,用户313,21
用户90,用户189,6
用户629,用户948,1
用户530,用户851,29
用户530,用户267,81
用户720,用户731,28
用户915,用户316,355
用户214,用户742,51
用户1001,用户977,80
用户165,用户207,43
用户159,用户629,6
用户630,用户790,21
用户267,用户586,191
用户401,用户165,520
用户200,用户428,107
用户200,用户165,15
用户200,用户316,68
用户98,用户592,304
用户214,用户923,96
用户472,用户416,12
用户98,用户107,669
用户98,用户454,193
用户335,用户790,9
用户159,用户720,7
用户502,用户569,41
用户316,用户428,285
用户90,用户569,8
用户107,用户98,175
用户731,用户720,2
用户915,用户165,49
用户790,用户630,19
用户586,用户214,18
用户586,用户159,32
用户592,用户98,311
用户500,用户923,20
用户90,用户742,48
用户416,用户260,21
用户267,用户517,128
用户765,用户313,46
用户267,用户530,40
用户260,用户416,28
用户517,用户267,127
用户977,用户996,131
用户135,用户692,79
用户415,用户630,17
用户260,用户790,41
用户718,用户502,58
用户147,用户214,53
用户951,用户214,51
用户416,用户912,90
用户996,用户418,745
用户891,用户24,295
用户429,用户98,148
用户790,用户260,38
用户607,用户927,9
用户630,用户415,26
用户450,用户159,3
用户14,用户1001,92
用户24,用户891,214
用户356,用户416,107
用户502,用户718,41
用户684,用户517,6
用户684,用户586,9
用户684,用户356,21
用户915,用户912,5
用户915,用户168,1
用户915,用户472,1
用户915,用户765,5
用户915,用户684,15
用户915,用户629,6
用户530,用户718,6
用户428,用户569,5
用户629,用户915,12
用户630,用户267,15
用户267,用户630,11
用户569,用户428,3
用户415,用户987,8
用户742,用户90,57
用户987,用户415,7
用户517,用户166,27
用户517,用户586,38
用户517,用户356,51
用户517,用户765,13
用户159,用户517,13
用户765,用户517,4
用户586,用户718,12
用户166,用户517,14
用户586,用户416,258
用户718,用户586,4
用户718,用户530,6
用户927,用户607,11
用户586,用户517,39
用户232,用户126,24
用户586,用户334,61
用户569,用户977,5
用户126,用户232,28
用户200,用户267,2
用户951,用户915,2
用户450,用户718,6
用户912,用户260,117
用户742,用户450,33
用户912,用户915,2
用户912,用户742,2
用户165,用户915,15
用户951,用户772,13
用户718,用户450,13
用户500,用户790,6
用户107,用户335,104
用户280,用户718,2
用户891,用户280,22
用户450,用户742,33
用户334,用户742,32
用户718,用户334,7
用户951,用户506,38
用户207,用户428,66
用户280,用户189,8
用户334,用户90,8
用户428,用户207,21
用户120,用户454,53
用户951,用户200,1
用户923,用户500,8
用户790,用户500,6
用户90,用户280,11
用户189,用户280,3
用户267,用户135,2
用户267,用户24,17
用户200,用户159,2
用户629,用户267,25
用户159,用户200,4
用户135,用户267,3
用户731,用户540,1
用户214,用户951,33
用户718,用户607,19
用户718,用户107,13
用户718,用户569,7
用户718,用户629,2
用户718,用户720,1
用户851,用户630,18
用户159,用户951,12
用户629,用户356,1
用户951,用户159,17
用户630,用户851,12
用户500,用户126,20
用户500,用户586,172
用户742,用户692,50
用户851,用户159,4
用户742,用户334,15
用户586,用户500,150
用户356,用户168,325
用户454,用户98,139
用户232,用户260,17
用户502,用户851,26
用户718,用户280,2
用户851,用户502,13
用户356,用户629,1
用户356,用户313,259
用户356,用户684,24
用户416,用户159,17
用户260,用户232,19
用户166,用户168,9
用户168,用户166,16
用户356,用户517,80
用户472,用户517,5
用户168,用户765,24
用户214,用户147,29
用户159,用户416,10
用户416,用户629,18
用户790,用户267,14
用户267,用户790,15
用户927,用户592,56
用户472,用户313,48
用户506,用户951,13
用户630,用户629,112
用户891,用户846,6
用户147,用户454,44
用户416,用户586,144
用户454,用户147,44
用户1001,用户14,146
用户159,用户61,6
用户915,用户61,24
用户428,用户61,16
用户61,用户159,11
用户61,用户428,22
用户61,用户915,46
用户356,用户166,74
用户334,用户772,33
用户120,用户569,2
用户313,用户472,46
用户90,用户912,15
用户586,用户168,88
用户416,用户927,71
用户356,用户126,61
用户912,用户90,12
用户168,用户586,55
用户168,用户416,111
用户765,用户168,16
用户927,用户120,29
用户927,用户90,54
用户90,用户927,11
用户207,用户67,96
用户416,用户166,53
用户166,用户356,22
用户692,用户607,15
用户443,用户159,8
用户260,用户356,8
用户951,用户500,3
用户502,用户915,21
用户765,用户104,174
用户90,用户915,28
用户692,用户731,1
用户104,用户765,89
用户107,用户718,13
用户356,用户260,9
用户356,用户607,21
用户423,用户1001,5
用户356,用户500,13
用户586,用户782,273
用户500,用户356,7
用户165,用户200,12
用户165,用户428,24
用户165,用户316,375
用户782,用户416,116
用户951,用户731,4
用户731,用户951,1
用户692,用户90,3
用户630,用户915,13
用户586,用户912,58
用户334,用户502,32
用户280,用户502,22
用户851,用户90,3
用户502,用户280,66
用户415,用户629,7
用户629,用户415,7
用户214,用户987,26
用户214,用户720,35
用户214,用户530,34
用户214,用户684,22
用户214,用户738,32
用户214,用户334,33
用户915,用户630,12
用户630,用户24,29
用户630,用户428,4
用户24,用户630,21
用户135,用户214,15
用户891,用户214,6
用户506,用户189,34
用户607,用户517,6
用户607,用户738,4
用户738,用户607,1
用户189,用户506,26
用户629,用户189,9
用户147,用户607,21
用户607,用户147,20
用户189,用户629,8
用户135,用户159,3
用户159,用户135,1
用户416,用户454,8
用户454,用户416,5
用户951,用户267,8
用户267,用户951,4
用户428,用户267,6
用户443,用户692,6
用户200,用户951,1
用户912,用户232,65
用户147,用户927,4
用户927,用户772,7
用户159,用户428,1
用户135,用户120,26
用户166,用户500,7
用户416,用户214,15
用户98,用户429,273
用户214,用户416,5
用户120,用户923,47
用户731,用户159,4
用户718,用户159,13
用户765,用户120,3
用户718,用户189,126
用户765,用户356,77
用户718,用户977,6
用户718,用户423,10
用户912,用户214,100
用户416,用户267,6
用户731,用户214,3
用户214,用户731,16
用户605,用户506,6
用户607,用户189,17
用户506,用户605,21
用户718,用户684,3
用户684,用户718,3
用户159,用户62,32
用户168,用户313,42
用户629,用户428,3
用户912,用户313,32
用户280,用户469,24
用户166,用户416,69
用户335,用户107,88
用户502,用户923,23
用户104,用户294,14
用户104,用户416,15
用户104,用户356,9
用户104,用户313,10
用户313,用户104,8
用户313,用户912,19
用户166,用户912,3
用户428,用户629,4
用户316,用户165,176
用户912,用户166,5
用户912,用户416,91
用户738,用户231,73
用户923,用户592,7
用户592,用户923,4
用户214,用户189,11
用户923,用户692,8
用户428,用户189,20
用户428,用户214,19
用户189,用户214,8
用户947,用户450,13
用户61,用户443,7
用户772,用户334,49
用户443,用户61,4
用户120,用户334,11
用户772,用户684,4
用户772,用户450,5
用户772,用户851,3
用户772,用户742,21
用户120,用户915,11
用户120,用户502,6
用户120,用户530,12
用户120,用户718,9
用户120,用户356,8
用户915,用户120,10
用户772,用户517,11
用户765,用户159,4
用户718,用户356,25
用户356,用户718,36
用户987,用户159,7
用户506,用户718,2
用户159,用户987,6
用户987,用户120,7
用户231,用户540,77
用户231,用户987,7
用户61,用户450,75
用户450,用户61,52
用户416,用户765,30
用户923,用户517,1
用户915,用户90,20
用户135,用户772,20
用户977,用户189,35
用户790,用户126,150
用户159,用户147,20
用户772,用户135,14
用户147,用户159,27
用户126,用户790,152
用户772,用户189,11
用户772,用户718,7
用户772,用户356,8
用户280,用户731,6
用户120,用户135,13
用户569,用户214,2
用户90,用户416,48
用户166,用户765,10
用户586,用户772,9
用户165,用户267,4
用户469,用户428,1
用户469,用户135,1
用户135,用户469,1
用户267,用户165,6
用户782,用户166,22
用户782,用户586,229
用户334,用户61,30
用户61,用户334,14
用户214,用户502,25
用户214,用户569,26
用户502,用户231,17
用户334,用户147,1
用户977,用户423,206
用户423,用户977,130
用户915,用户772,12
用户915,用户607,12
用户231,用户502,15
用户607,用户915,19
用户24,用户267,16
用户607,用户569,13
用户607,用户996,1
用户120,用户214,1
用户207,用户978,9
用户742,用户135,30
用户61,用户742,69
用户280,用户846,63
用户135,用户742,39
用户67,用户846,274
用户415,用户607,27
用户846,用户67,134
用户294,用户126,52
用户607,用户891,8
用户790,用户782,27
用户126,用户294,50
用户790,用户294,7
用户294,用户790,12
用户923,用户14,2
用户923,用户231,16
用户923,用户1001,1
用户923,用户506,14
用户923,用户996,1
用户923,用户738,73
用户923,用户951,38
用户923,用户90,35
用户135,用户765,7
用户765,用户135,4
用户214,用户891,12
用户135,用户923,10
用户731,用户280,3
用户159,用户586,21
用户120,用户107,13
用户62,用户214,46
用户684,用户692,1
用户692,用户684,1
用户851,用户469,42
用户506,用户923,31
用户915,用户692,1
用户189,用户977,29
用户951,用户540,17
用户540,用户951,6
用户334,用户214,73
用户416,用户334,6
用户90,用户720,28
用户629,用户772,12
用户629,用户120,20
用户772,用户629,18
用户692,用户718,23
用户692,用户742,35
用户692,用户517,1
用户923,用户135,5
用户742,用户61,66
用户61,用户189,15
用户607,用户423,4
用户720,用户159,6
用户423,用户607,1
用户586,用户765,42
用户586,用户947,25
用户586,用户948,37
用户586,用户120,38
用户586,用户165,23
用户530,用户569,1
用户607,用户415,17
用户923,用户334,12
用户214,用户450,10
用户450,用户214,1
用户214,用户746,59
用户428,用户165,16
用户935,用户746,513
用户135,用户450,29
用户135,用户851,8
用户135,用户915,7
用户135,用户530,3
用户334,用户746,47
用户530,用户135,6
用户135,用户718,21
用户135,用户502,2
用户500,用户214,30
用户746,用户935,1060
用户846,用户280,30
用户416,用户782,86
用户450,用户692,19
用户214,用户692,35
用户214,用户500,21
用户772,用户443,2
用户772,用户912,6
用户692,用户450,14
用户316,用户214,70
用户214,用户316,52
用户629,用户607,13
用户607,用户629,7
用户684,用户607,2
用户607,用户684,3
用户443,用户772,1
用户356,用户782,9
用户14,用户738,12
用户692,用户415,20
用户607,用户61,37
用户61,用户607,33
用户415,用户692,17
用户765,用户294,3
用户294,用户765,5
用户126,用户500,17
用户232,用户765,7
用户165,用户586,3
用户90,用户502,21
用户772,用户107,10
用户772,用户987,9
用户772,用户731,3
用户772,用户502,15
用户772,用户569,1
用户772,用户720,4
用户772,用户915,22
用户120,用户147,9
用户120,用户684,4
用户120,用户517,8
用户120,用户629,36
用户120,用户851,3
用户120,用户978,9
用户90,用户443,10
用户120,用户416,33
用户987,用户214,4
用户502,用户90,4
用户120,用户166,1
用户120,用户586,26
用户120,用户61,13
用户120,用户765,12
用户280,用户90,4
用户61,用户120,7
用户61,用户772,4
用户607,用户450,1
用户450,用户607,1
用户454,用户927,2
用户214,用户540,5
用户135,用户607,8
用户746,用户214,99
用户166,用户232,9
用户540,用户214,5
用户502,用户214,24
用户772,用户214,5
用户772,用户159,4
用户159,用户772,1
用户746,用户334,8
用户782,用户790,25
用户280,用户207,13
用户415,用户416,21
用户356,用户772,3
用户356,用户120,6
用户334,用户915,18
用户107,用户772,4
用户107,用户120,12
用户107,用户90,2
用户107,用户569,1
用户107,用户334,5
用户915,用户334,10
用户915,用户450,34
用户450,用户915,19
用户401,用户98,344
用户569,用户120,2
用户569,用户90,1
用户720,用户569,1
用户506,用户692,1
用户720,用户927,1
用户927,用户98,1
用户927,用户951,1
用户927,用户454,10
用户927,用户159,1
用户415,用户147,6
用户415,用户720,4
用户415,用户334,25
用户166,用户294,13
用户720,用户415,2
用户294,用户166,14
用户472,用户232,147
用户147,用户415,12
用户260,用户126,6
用户147,用户629,1
用户746,用户450,32
用户746,用户851,33
用户746,用户502,56
用户746,用户517,19
用户746,用户135,34
用户746,用户915,21
用户746,用户742,44
用户746,用户731,48
用户746,用户718,49
用户746,用户530,53
用户126,用户260,5
用户120,用户607,1
用户24,用户280,32
用户720,用户607,1
用户720,用户629,1
用户428,用户630,3
用户231,用户607,5
用户62,用户927,3
用户851,用户135,6
用户356,用户61,58
用户135,用户746,26
用户416,用户120,11
用户135,用户684,1
用户135,用户517,5
用户502,用户135,1
用户684,用户135,1
用户927,用户62,3
用户569,用户978,1
用户569,用户107,3
用户569,用户629,1
用户569,用户356,3
用户98,用户401,240
用户356,用户502,11
用户356,用户569,4
用户90,用户14,8
用户90,用户104,1
用户742,用户765,14
用户765,用户742,15
用户742,用户104,11
用户443,用户765,2
用户416,用户772,9
用户90,用户334,3
用户168,用户90,15
用户607,用户851,5
用户607,用户280,4
用户607,用户530,5
用户294,用户356,4
用户569,用户231,1
用户569,用户607,4
用户90,用户356,37
用户159,用户443,4
用户851,用户731,4
用户851,用户718,17
用户915,用户502,22
用户502,用户731,8
用户502,用户530,14
用户356,用户294,3
用户502,用户356,1
用户500,用户90,14
用户607,用户356,22
用户746,用户415,4
用户159,用户506,3
用户90,用户500,7
用户416,用户232,22
用户232,用户416,27
用户718,用户746,11
用户738,用户214,4
用户450,用户586,6
用户450,用户356,2
用户450,用户530,5
用户450,用户684,5
用户530,用户450,12
用户530,用户586,11
用户530,用户356,7
用户530,用户684,5
用户915,用户586,23
用户189,用户569,1
用户159,用户738,6
用户416,用户90,11
用户684,用户450,1
用户684,用户915,7
用户684,用户530,2
用户280,用户891,31
用户987,用户772,6
用户506,用户159,3
用户126,用户782,52
用户356,用户90,44
用户500,用户294,2
用户334,用户356,13
用户168,用户500,2
用户62,用户500,5
用户500,用户62,8
用户159,用户927,4
用户166,用户782,27
用户472,用户260,8
用户135,用户569,1
用户214,用户443,12
用户443,用户214,9
用户502,用户605,61
用户891,用户159,3
用户607,用户159,6
用户90,用户718,23
用户731,用户90,1
用户214,用户107,22
用户915,用户214,8
用户90,用户731,2
用户790,用户891,1
用户987,用户90,5
用户454,用户90,4
用户454,用户165,4
用户135,用户61,29
用户356,用户334,6
用户765,用户586,3
用户61,用户135,35
用户450,用户443,11
用户104,用户126,30
用户90,用户996,10
用户166,用户74,123
用户74,用户166,122
用户443,用户450,6
用户313,用户500,1
用户951,用户189,19
用户951,用户605,5
用户61,用户214,4
用户14,用户996,10
用户530,用户742,5
用户74,用户232,10
用户692,用户540,23
用户90,用户61,13
用户891,用户851,5
用户851,用户891,5
用户782,用户74,25
用户586,用户692,4
用户159,用户718,4
用户502,用户746,2
用户104,用户742,9
用户107,用户607,4
用户165,用户629,2
用户692,用户586,1
用户746,用户592,1
用户586,用户74,88
用户126,用户104,30
用户746,用户923,43
用户782,用户923,8
用户923,用户746,17
用户232,用户74,13
用户912,用户923,11
用户927,用户356,5
用户923,用户912,3
用户923,用户782,6
用户927,用户416,31
用户569,用户334,1
用户530,用户607,3
用户24,用户428,4
用户24,用户450,1
用户24,用户469,3
用户24,用户502,2
用户24,用户189,16
用户24,用户846,4
用户24,用户731,1
用户24,用户207,2
用户74,用户782,14
用户607,用户592,1
用户126,用户74,10
用户592,用户607,2
用户74,用户126,22
用户90,用户977,1
用户416,用户517,9
用户935,用户502,2
用户692,用户61,30
用户586,用户607,12
用户416,用户74,20
用户978,用户630,12
用户147,用户334,3
用户540,用户692,14
用户416,用户472,30
用户912,用户586,37
用户912,用户126,15
用户630,用户978,11
用户951,用户996,18
用户126,用户912,16
用户951,用户428,5
用户74,用户416,20
用户428,用户951,5
用户24,用户607,2
用户607,用户24,2
用户232,用户472,261
用户851,用户607,1
用户772,用户280,12
用户416,用户104,20
用户214,用户62,18
用户790,用户765,8
用户517,用户607,5
用户334,用户416,13
用户502,用户607,10
用户731,用户607,3
用户607,用户135,3
用户782,用户232,39
用户607,用户731,4
用户232,用户782,32
用户846,用户629,6
用户517,用户313,4
用户996,用户506,110
用户189,用户607,4
用户313,用户517,3
用户742,用户607,6
用户607,用户586,8
用户987,用户607,4
用户147,用户90,21
用户90,用户147,15
用户718,用户851,29
用户586,用户260,3
用户126,用户765,9
用户530,用户159,3
用户280,用户978,9
用户74,用户586,59
用户765,用户126,5
用户851,用户207,2
用户166,用户267,11
用户500,用户692,6
用户135,用户334,29
用户168,用户782,72
用户782,用户168,131
用户978,用户280,17
用户313,用户356,88
用户782,用户472,180
用户267,用户428,5
用户472,用户782,113
用户718,用户630,2
用户718,用户731,11
用户731,用户772,1
用户232,用户356,18
用户502,用户189,78
用户765,用户912,19
用户168,用户267,1
用户267,用户166,8
用户502,用户772,12
用户416,用户500,14
用户178,用户569,125
用户415,用户772,2
用户335,用户923,3
用户280,用户630,26
用户178,用户502,670
用户630,用户280,11
用户629,用户927,1
用户629,用户416,16
用户569,用户178,14
用户630,用户731,3
用户915,用户746,5
用户178,用户120,10
用户316,用户592,2
用户334,用户135,14
用户592,用户316,1
用户912,用户607,1
用户178,用户605,228
用户912,用户120,3
用户450,用户135,20
用户334,用户851,10
用户334,用户189,4
用户851,用户334,5
用户746,用户159,14
用户168,用户74,23
用户120,用户912,9
用户790,用户335,7
用户313,用户168,23
用户159,用户178,8
用户90,用户135,13
用户24,用户90,7
用户90,用户24,4
用户126,用户454,1
用户742,用户120,32
用户267,用户313,3
用户135,用户90,15
用户74,用户912,46
用户74,用户168,40
用户260,用户472,10
用户472,用户765,9
用户90,用户168,18
用户996,用户951,5
用户98,用户746,1
用户90,用户415,1
用户415,用户90,1
用户90,用户450,6
用户742,用户923,16
用户790,用户61,1
用户231,用户923,2
用户159,用户746,14
用户90,用户629,25
用户90,用户530,9
用户530,用户90,10
用户772,用户500,4
用户502,用户178,304
用户454,用户126,1
用户502,用户334,4
用户214,用户356,17
用户334,用户630,2
用户630,用户334,1
用户923,用户742,8
用户356,用户927,3
用户472,用户62,5
用户62,用户472,6
用户356,用户62,2
用户147,用户772,5
用户912,用户74,31
用户168,用户62,1
用户135,用户443,2
用户416,用户923,1
用户923,用户416,1
用户500,用户772,2
用户951,用户742,7
用户416,用户592,3
用户592,用户416,2
用户765,用户472,10
用户200,用户630,7
用户630,用户200,7
用户104,用户90,1
用户500,用户120,9
用户62,用户356,3
用户62,用户912,3
用户62,用户168,4
用户62,用户765,2
用户912,用户62,1
用户232,用户313,44
用户74,用户356,13
用户356,用户74,15
用户120,用户500,7
用户147,用户232,3
用户90,用户765,22
用户738,用户159,8
用户923,用户607,3
用户61,用户851,42
用户61,用户502,63
用户267,用户416,3
用户607,用户1001,6
用户313,用户126,4
用户126,用户313,2
用户607,用户178,3
用户774,用户540,9
用户851,用户61,6
用户232,用户147,3
用户1001,用户607,5
用户316,用户607,8
用户334,用户120,6
用户540,用户774,7
用户316,用户415,14
用户415,用户316,19
用户502,用户61,24
用户294,用户232,7
用户742,用户772,18
用户423,用户996,7
用户586,用户472,7
用户334,用户586,18
用户280,用户450,1
用户772,用户147,3
用户428,用户24,4
用户517,用户891,2
用户765,用户718,1
用户765,用户684,2
用户891,用户517,1
用户996,用户423,8
用户90,用户62,8
用户107,用户159,2
用户356,用户232,57
用户232,用户294,6
用户159,用户107,3
用户607,用户500,6
用户912,用户765,32
用户500,用户607,7
用户996,用户977,29
用户178,用户90,40
用户90,用户166,7
用户846,用户24,6
用户120,用户742,18
用户90,用户178,38
用户316,用户629,32
用户629,用户316,36
用户450,用户851,7
用户90,用户891,13
用户891,用户90,7
用户316,用户502,2
用户316,用户978,6
用户316,用户107,4
用户316,用户569,1
用户316,用户731,2
用户316,用户987,4
用户316,用户720,4
用户605,用户178,558
用户313,用户267,3
用户951,用户923,33
用户987,用户334,3
用户334,用户987,7
用户416,用户415,7
用户851,用户450,6
用户415,用户978,11
用户978,用户415,7
用户742,用户915,16
用户915,用户742,21
用户104,用户912,4
用户313,用户232,19
用户178,用户231,27
用户923,用户915,14
用户280,用户607,2
用户454,用户67,2
用户454,用户948,7
用户454,用户629,6
用户629,用户454,4
用户178,用户607,21
用户912,用户104,3
用户530,用户846,7
用户765,用户450,4
用户607,用户232,18
用户232,用户607,9
用户450,用户765,6
用户500,用户416,13
用户718,用户742,20
用户718,用户517,18
用户718,用户135,14
用户718,用户692,15
用户517,用户718,36
用户450,用户428,4
用户586,用户731,2
用户517,用户912,1
用户517,用户472,7
用户443,用户135,5
用户61,用户472,22
用户428,用户450,4
用户90,用户316,43
用户607,用户720,1
用户684,用户935,1
用户951,用户630,16
用户630,用户951,19
用户607,用户168,3
用户232,用户166,3
用户61,用户469,12
用户472,用户214,5
用户214,用户472,5
用户120,用户443,9
用户415,用户540,4
用户214,用户178,32
用户540,用户24,8
用户166,用户61,6
用户469,用户61,3
用户61,用户530,12
用户24,用户540,7
用户178,用户61,12
用户517,用户443,2
用户517,用户851,5
用户517,用户135,8
用户517,用户915,11
用户517,用户731,4
用户517,用户530,4
用户517,用户450,5
用户731,用户630,1
用户416,用户742,1
用户61,用户178,7
用户178,用户159,5
用户607,用户120,1
用户294,用户74,170
用户74,用户294,92
用户782,用户126,54
用户61,用户280,4
用户280,用户267,5
用户74,用户500,1
用户629,用户569,2
用户267,用户280,4
用户178,用户334,6
用户334,用户178,8
用户98,用户607,1
用户586,用户684,18
用户517,用户684,8
用户214,用户415,2
用户415,用户214,2
用户915,用户517,8
用户104,用户74,24
用户684,用户923,2
用户159,用户189,4
用户90,用户472,14
用户450,用户923,5
用户851,用户684,1
用户923,用户684,1
用户316,用户90,26
用户313,用户90,7
用户692,用户214,8
用户586,用户530,12
用户189,用户159,1
用户517,用户923,1
用户742,用户684,3
用户24,用户200,1
用户607,用户416,7
用户416,用户607,2
用户356,用户530,5
用户629,用户90,2
用户586,用户450,12
用户586,用户915,29
用户586,用户742,4
用户356,用户450,2
用户356,用户915,6
用户356,用户742,3
用户915,用户891,9
用户530,用户517,3
用户530,用户765,1
用户742,用户586,2
用户742,用户356,3
用户742,用户530,2
用户742,用户517,2
用户742,用户891,1
用户765,用户166,9
用户189,用户605,10
用户189,用户14,9
用户415,用户178,24
用户790,用户232,45
用户232,用户790,49
用户915,用户189,16
用户189,用户915,14
用户530,用户61,8
用户260,用户74,1
用户178,用户415,37
用户935,用户684,1
用户718,用户90,13
用户772,用户178,14
用户335,用户607,2
用户607,用户335,1
用户415,用户107,9
用户774,用户951,2
用户772,用户540,1
用户772,用户738,4
用户772,用户891,1
用户454,用户428,3
用户454,用户415,6
用户454,用户334,2
用户454,用户107,2
用户334,用户454,2
用户607,用户316,4
