source,target,value
用户540,用户135,1
用户530,用户214,7
用户629,用户288,142
用户280,用户214,1
用户214,用户280,4
用户178,用户915,4
用户178,用户530,2
用户356,用户214,9
用户214,用户978,8
用户718,用户214,2
用户530,用户502,7
用户978,用户891,2
用户316,用户416,4
用户416,用户316,1
用户267,用户947,1
用户978,用户316,6
用户978,用户214,3
用户288,用户629,672
用户947,用户267,1
用户416,用户790,37
用户790,用户416,44
用户316,用户454,1
用户454,用户214,1
用户987,用户978,1
用户987,用户629,1
用户316,用户718,1
用户978,用户502,5
用户280,用户288,16
用户530,用户428,11
用户428,用户530,12
用户416,用户61,6
用户61,用户416,4
用户214,用户135,1
用户214,用户586,15
用户267,用户915,5
用户915,用户267,9
用户178,用户280,15
用户178,用户718,4
用户178,用户977,4
用户418,用户178,24
用户178,用户418,17
用户267,用户316,4
用户267,用户978,2
用户978,用户267,4
用户316,用户267,8
用户356,用户790,24
用户135,用户790,6
用户790,用户135,2
用户530,用户746,8
用户530,用户288,6
用户280,用户178,2
用户790,用户356,14
用户168,用户214,1
用户947,用户586,4
用户947,用户165,1
用户790,用户506,1
用户746,用户586,6
用户746,用户356,6
用户586,用户746,2
用户746,用户61,2
用户61,用户746,1
用户165,用户454,2
用户629,用户178,13
用户629,用户502,3
用户178,用户629,21
用户718,用户428,1
用户214,用户168,4
用户530,用户790,2
用户530,用户178,7
用户502,用户978,3
用户178,用户978,4
用户790,用户530,2
用户790,用户502,6
用户280,用户61,2
用户502,用户790,3
用户416,用户718,1
用户178,用户214,11
用户790,用户472,4
用户718,用户178,8
用户214,用户718,3
用户454,用户586,1
用户586,用户454,1
用户428,用户454,2
用户746,用户629,1
用户746,用户316,1
用户977,用户178,4
用户912,用户891,1
用户912,用户530,1
用户891,用户915,3
用户288,用户530,5
用户472,用户61,1
用户915,用户178,3
用户977,用户428,1
用户977,用户629,2
用户629,用户977,1
用户915,用户135,13
用户978,用户178,1
用户214,用户61,3
用户912,用户267,4
用户267,用户912,2
用户165,用户280,2
用户502,用户506,5
用户912,用户61,2
用户61,用户912,1
用户280,用户165,2
用户586,用户61,9
用户61,用户586,3
用户135,用户629,1
用户912,用户790,5
用户316,用户280,1
用户506,用户418,2
用户418,用户506,2
用户530,用户316,2
用户168,用户316,1
用户135,用户586,3
用户586,用户135,3
用户891,用户978,1
用户316,用户586,2
用户790,用户586,2
用户586,用户790,1
用户472,用户790,1
用户586,用户316,1
用户977,用户790,8
用户790,用户977,3
用户316,用户530,2
用户316,用户135,1
用户135,用户316,1
用户428,用户978,1
用户428,用户280,1
用户178,用户356,1
用户891,用户61,3
用户746,用户912,3
用户288,用户891,2
用户214,用户267,2
用户472,用户746,1
用户746,用户472,2
用户168,用户746,1
用户912,用户746,5
用户586,用户502,2
用户356,用户746,1
用户891,用户288,2
用户267,用户214,4
用户472,用户502,1
用户472,用户586,3
用户61,用户891,1
用户288,用户280,1
用户418,用户502,2
用户502,用户418,2
用户718,用户506,1
