source,target,value
用户416,用户454,8
用户454,用户416,5
用户428,用户267,6
用户159,用户428,1
用户135,用户120,26
用户416,用户214,15
用户214,用户416,5
用户120,用户923,47
用户718,用户159,13
用户765,用户120,3
用户765,用户356,77
用户718,用户977,6
用户912,用户214,100
用户416,用户267,6
用户629,用户428,3
用户502,用户923,23
用户428,用户629,4
用户316,用户165,176
用户912,用户416,91
用户923,用户692,8
用户428,用户214,19
用户120,用户334,11
用户120,用户915,11
用户120,用户502,6
用户120,用户530,12
用户120,用户718,9
用户120,用户356,8
用户915,用户120,10
用户765,用户159,4
用户718,用户356,25
用户356,用户718,36
用户987,用户159,7
用户506,用户718,2
用户159,用户987,6
用户987,用户120,7
用户416,用户765,30
用户915,用户90,20
用户120,用户135,13
用户90,用户416,48
用户165,用户267,4
用户267,用户165,6
用户782,用户586,229
用户334,用户61,30
用户61,用户334,14
用户214,用户502,25
用户120,用户214,1
用户207,用户978,9
用户742,用户135,30
用户61,用户742,69
用户135,用户742,39
用户790,用户782,27
用户923,用户506,14
用户923,用户996,1
用户923,用户738,73
用户923,用户90,35
用户135,用户765,7
用户765,用户135,4
用户214,用户891,12
用户135,用户923,10
用户159,用户586,21
用户120,用户107,13
用户506,用户923,31
用户915,用户692,1
用户334,用户214,73
用户416,用户334,6
用户629,用户120,20
用户692,用户718,23
用户692,用户742,35
用户923,用户135,5
用户742,用户61,66
用户586,用户765,42
用户586,用户947,25
用户586,用户120,38
用户586,用户165,23
用户923,用户334,12
用户214,用户746,59
用户428,用户165,16
用户935,用户746,513
用户135,用户915,7
用户135,用户530,3
用户334,用户746,47
用户530,用户135,6
用户135,用户718,21
用户135,用户502,2
用户746,用户935,1060
用户416,用户782,86
用户214,用户692,35
用户316,用户214,70
用户214,用户316,52
用户356,用户782,9
用户165,用户586,3
用户90,用户502,21
用户120,用户629,36
用户120,用户978,9
用户120,用户416,33
用户987,用户214,4
用户502,用户90,4
用户120,用户586,26
用户120,用户61,13
用户120,用户765,12
用户280,用户90,4
用户61,用户120,7
用户214,用户540,5
用户746,用户214,99
用户540,用户214,5
用户502,用户214,24
用户746,用户334,8
用户782,用户790,25
用户280,用户207,13
用户356,用户120,6
用户334,用户915,18
用户107,用户120,12
用户107,用户90,2
用户107,用户334,5
用户915,用户334,10
用户401,用户98,344
用户506,用户692,1
用户746,用户502,56
用户746,用户135,34
用户746,用户915,21
用户746,用户742,44
用户746,用户718,49
用户746,用户530,53
用户356,用户61,58
用户135,用户746,26
用户416,用户120,11
用户502,用户135,1
用户98,用户401,240
用户356,用户502,11
用户742,用户765,14
用户765,用户742,15
用户90,用户334,3
用户168,用户90,15
用户90,用户356,37
用户915,用户502,22
用户502,用户530,14
用户502,用户356,1
用户159,用户506,3
用户718,用户746,11
用户738,用户214,4
用户530,用户586,11
用户530,用户356,7
用户915,用户586,23
用户159,用户738,6
用户416,用户90,11
用户280,用户891,31
用户506,用户159,3
用户356,用户90,44
用户334,用户356,13
用户891,用户159,3
用户90,用户718,23
用户214,用户107,22
用户915,用户214,8
用户790,用户891,1
用户987,用户90,5
用户454,用户90,4
用户454,用户165,4
用户135,用户61,29
用户356,用户334,6
用户765,用户586,3
用户61,用户135,35
用户90,用户996,10
用户61,用户214,4
用户530,用户742,5
用户692,用户540,23
用户90,用户61,13
用户586,用户692,4
用户159,用户718,4
用户502,用户746,2
用户165,用户629,2
用户692,用户586,1
用户746,用户923,43
用户782,用户923,8
用户923,用户746,17
用户912,用户923,11
用户923,用户912,3
用户923,用户782,6
用户90,用户977,1
用户935,用户502,2
用户692,用户61,30
用户540,用户692,14
用户416,用户472,30
用户912,用户586,37
用户790,用户765,8
用户334,用户416,13
用户996,用户506,110
用户530,用户159,3
用户280,用户978,9
用户135,用户334,29
用户168,用户782,72
用户782,用户168,131
用户978,用户280,17
用户782,用户472,180
用户267,用户428,5
用户472,用户782,113
用户765,用户912,19
用户168,用户267,1
用户178,用户502,670
用户629,用户416,16
用户915,用户746,5
用户178,用户120,10
用户334,用户135,14
用户912,用户120,3
用户746,用户159,14
用户120,用户912,9
用户159,用户178,8
用户90,用户135,13
用户742,用户120,32
用户135,用户90,15
用户472,用户765,9
用户90,用户168,18
用户98,用户746,1
用户742,用户923,16
用户790,用户61,1
用户159,用户746,14
用户90,用户629,25
用户90,用户530,9
用户530,用户90,10
用户502,用户178,304
用户502,用户334,4
用户214,用户356,17
用户923,用户742,8
用户416,用户923,1
用户923,用户416,1
用户765,用户472,10
用户90,用户765,22
用户738,用户159,8
用户61,用户502,63
用户267,用户416,3
用户774,用户540,9
用户334,用户120,6
用户540,用户774,7
用户502,用户61,24
用户586,用户472,7
用户334,用户586,18
用户765,用户718,1
用户107,用户159,2
用户159,用户107,3
用户912,用户765,32
用户996,用户977,29
用户178,用户90,40
用户120,用户742,18
用户90,用户178,38
用户316,用户629,32
用户629,用户316,36
用户90,用户891,13
用户891,用户90,7
用户316,用户502,2
用户316,用户978,6
用户316,用户107,4
用户316,用户987,4
用户987,用户334,3
用户334,用户987,7
用户742,用户915,16
用户915,用户742,21
用户923,用户915,14
用户454,用户67,2
用户454,用户629,6
用户629,用户454,4
用户718,用户742,20
用户718,用户135,14
用户718,用户692,15
用户61,用户472,22
用户90,用户316,43
用户472,用户214,5
用户214,用户472,5
用户214,用户178,32
用户61,用户530,12
用户178,用户61,12
用户416,用户742,1
用户61,用户178,7
用户178,用户159,5
用户61,用户280,4
用户280,用户267,5
用户267,用户280,4
用户178,用户334,6
用户334,用户178,8
用户90,用户472,14
用户316,用户90,26
用户692,用户214,8
用户586,用户530,12
用户356,用户530,5
用户629,用户90,2
用户586,用户915,29
用户586,用户742,4
用户356,用户915,6
用户356,用户742,3
用户915,用户891,9
用户530,用户765,1
用户742,用户586,2
用户742,用户356,3
用户742,用户530,2
用户742,用户891,1
用户530,用户61,8
用户718,用户90,13
用户454,用户428,3
用户454,用户334,2
用户454,用户107,2
用户334,用户454,2
用户135,用户178,4
用户987,用户738,1
用户987,用户746,1
用户987,用户923,2
用户987,用户692,2
用户61,用户765,4
用户765,用户61,1
用户316,用户178,3
用户987,用户135,2
用户135,用户987,1
用户120,用户782,2
用户207,用户891,9
用户506,用户502,4
用户891,用户207,2
用户120,用户996,4
用户746,用户120,1
用户935,用户530,4
用户530,用户935,2
用户629,用户334,3
用户540,用户135,1
用户120,用户280,10
用户923,用户178,3
用户178,用户923,1
用户168,用户935,2
用户935,用户168,1
用户90,用户207,1
用户978,用户90,3
用户530,用户214,7
用户742,用户746,3
用户629,用户288,142
用户280,用户214,1
用户935,用户692,20
用户214,用户280,4
用户178,用户915,4
用户178,用户530,2
用户692,用户935,11
用户356,用户214,9
用户214,用户978,8
用户765,用户90,15
用户718,用户214,2
用户120,用户987,13
用户120,用户178,18
用户120,用户316,15
用户120,用户90,8
用户530,用户502,7
用户506,用户334,2
用户978,用户891,2
用户334,用户506,1
用户316,用户416,4
用户416,用户316,1
用户316,用户120,12
用户718,用户120,7
用户267,用户947,1
用户978,用户316,6
用户978,用户214,3
用户502,用户692,2
用户288,用户629,672
用户947,用户267,1
用户718,用户923,1
用户316,用户923,4
用户416,用户790,37
用户159,用户765,1
用户334,用户280,3
用户923,用户316,3
用户629,用户923,2
用户790,用户416,44
用户90,用户947,1
用户316,用户454,1
用户586,用户923,15
用户923,用户586,7
用户454,用户214,1
用户454,用户159,1
用户987,用户978,1
用户987,用户107,1
用户987,用户629,1
用户90,用户214,4
用户316,用户718,1
用户120,用户977,5
用户978,用户502,5
用户280,用户288,16
用户530,用户428,11
用户428,用户530,12
用户61,用户90,10
用户502,用户742,6
用户742,用户502,4
用户782,用户912,24
用户912,用户782,29
用户90,用户923,19
用户416,用户61,6
用户61,用户416,4
用户923,用户502,12
用户214,用户135,1
用户214,用户586,15
用户334,用户107,4
用户267,用户915,5
用户915,用户267,9
用户178,用户280,15
用户178,用户718,4
用户178,用户977,4
用户418,用户178,24
用户178,用户418,17
用户692,用户923,5
用户267,用户316,4
用户267,用户978,2
用户978,用户267,4
用户316,用户267,8
用户356,用户790,24
用户135,用户790,6
用户790,用户135,2
用户334,用户168,4
用户742,用户718,21
用户168,用户334,3
用户178,用户692,6
用户692,用户530,3
用户692,用户178,2
用户530,用户746,8
用户530,用户288,6
用户67,用户267,1
用户472,用户159,5
用户168,用户923,4
用户923,用户168,5
用户280,用户178,2
用户159,用户530,1
用户790,用户356,14
用户168,用户214,1
用户947,用户586,4
用户947,用户120,1
用户947,用户165,1
用户790,用户506,1
用户530,用户120,5
用户530,用户692,3
用户159,用户472,5
用户746,用户586,6
用户746,用户356,6
用户586,用户746,2
用户120,用户267,12
用户746,用户61,2
用户61,用户746,1
用户334,用户978,1
用户334,用户316,3
用户165,用户454,2
用户978,用户120,3
用户159,用户168,1
用户629,用户178,13
用户629,用户502,3
用户178,用户629,21
用户923,用户530,1
用户996,用户738,2
用户718,用户428,1
用户774,用户90,1
用户90,用户774,1
用户214,用户168,4
用户530,用户790,2
用户530,用户178,7
用户935,用户61,1
用户935,用户923,2
用户935,用户135,1
用户280,用户120,2
用户502,用户978,3
用户765,用户790,7
用户267,用户120,8
用户178,用户978,4
用户790,用户530,2
用户790,用户502,6
用户428,用户159,7
用户107,用户214,2
用户280,用户61,2
用户502,用户790,3
用户540,用户159,2
用户334,用户765,1
用户416,用户718,1
用户178,用户214,11
用户790,用户472,4
用户718,用户178,8
用户214,用户718,3
用户454,用户586,1
用户454,用户782,2
用户454,用户738,1
用户586,用户454,1
用户428,用户454,2
用户746,用户629,1
用户746,用户316,1
用户120,用户540,11
用户977,用户178,4
用户912,用户891,1
用户912,用户530,1
用户765,用户416,12
用户891,用户915,3
用户288,用户530,5
用户280,用户67,1
用户472,用户61,1
用户540,用户120,3
用户915,用户178,3
用户977,用户428,1
用户977,用户629,2
用户629,用户977,1
用户996,用户90,6
用户915,用户135,13
用户782,用户61,22
用户120,用户935,2
用户107,用户502,1
用户61,用户782,18
用户978,用户178,1
用户935,用户742,3
用户214,用户61,3
用户912,用户267,4
用户267,用户912,2
用户915,用户935,2
用户165,用户280,2
用户502,用户506,5
用户912,用户61,2
用户61,用户912,1
用户280,用户165,2
用户586,用户61,9
用户61,用户586,3
用户742,用户472,1
用户107,用户178,2
用户107,用户987,1
用户502,用户738,4
用户135,用户629,1
用户912,用户790,5
用户316,用户280,1
用户506,用户418,2
用户356,用户923,5
用户418,用户506,2
用户923,用户356,4
用户923,用户718,2
用户977,用户120,2
用户530,用户316,2
用户782,用户356,3
用户168,用户316,1
用户738,用户692,1
用户135,用户586,3
用户586,用户135,3
用户692,用户738,1
用户502,用户120,2
用户334,用户472,1
用户891,用户978,1
用户316,用户586,2
用户790,用户586,2
用户586,用户790,1
用户472,用户790,1
用户586,用户316,1
用户316,用户782,1
用户267,用户782,4
用户782,用户316,1
用户782,用户267,5
用户782,用户915,10
用户977,用户790,8
用户790,用户977,3
用户178,用户107,1
用户316,用户530,2
用户316,用户135,1
用户316,用户742,1
用户915,用户782,9
用户135,用户316,1
用户629,用户782,2
用户428,用户978,1
用户428,用户280,1
用户178,用户356,1
用户782,用户746,1
用户891,用户61,3
用户90,用户267,3
用户267,用户90,1
用户692,用户915,1
用户428,用户692,1
用户692,用户987,1
用户746,用户912,3
用户288,用户891,2
用户214,用户267,2
用户472,用户746,1
用户746,用户472,2
用户168,用户746,1
用户912,用户746,5
用户586,用户502,2
用户356,用户746,1
用户891,用户288,2
用户267,用户214,4
用户782,用户629,4
用户472,用户502,1
用户472,用户586,3
用户61,用户891,1
用户782,用户891,1
用户923,用户765,1
用户923,用户472,1
用户316,用户334,1
用户120,用户98,1
用户334,用户891,1
用户288,用户280,1
用户418,用户502,2
用户502,用户418,2
用户718,用户506,1
